FID,Point,Northing,Easting,HAE,Code
0,1665,5466584.810999999800000,364572.798000000010000,278.728000000000010,TH2AwMID
1,1666,5466582.642000000000000,364576.275000000020000,278.682000000000020,AwMID
2,1671,5466591.211000000100000,364558.009000000020000,281.384999999999990,AwMID
3,1672,5466593.086000000100000,364554.683000000020000,282.466999999999980,IF2AwMID
4,1673,5466599.809999999600000,364547.992000000030000,280.810000000000000,AwMID
5,1676,5466604.826000000400000,364543.354999999980000,278.848999999999990,AwMID
6,1677,5466606.451000000400000,364540.353000000000000,278.555999999999980,TH1AwMID
7,1680,5466611.018000000200000,364532.525000000020000,279.673999999999980,AwMID
8,1682,5466611.430999999900000,364526.971000000020000,280.401000000000010,AwMID
9,1722,5466610.462000000300000,364531.723999999990000,280.502999999999990,IF1AwMID
10,1790,5466592.279000000100000,364555.494000000010000,282.538000000000010,IF2AwMID
11,1843,5466575.194000000100000,364585.471000000020000,281.742999999999990,IF3AwMID
12,1931,5466553.964999999900000,364622.571000000000000,280.735999999999990,IF4A2MID
13,1981,5466568.894999999600000,364601.184000000010000,277.035000000000030,TH3AwMID
14,2422,5466586.771999999900000,364569.761000000000000,278.874000000000020,TH2AwMID
15,1662,5466576.439000000200000,364584.694000000020000,281.461000000000010,IF3AwMID
34,1967,5466541.788,364643.837,276.021,TH4A2MID
