FID,Point,Northing,Easting,HAE,Code
1,1631,5466552.684999999600000,364733.265000000010000,281.995000000000000,IF6BMID
2,1632,5466550.446000000500000,364737.947999999970000,281.031999999999980,BMID
3,1633,5466550.078999999900000,364741.196000000000000,279.639000000000010,BMID
4,1634,5466548.070000000300000,364748.630000000000000,277.396999999999990,TH6BMID
5,1638,5466559.029000000100000,364716.384000000020000,276.651000000000010,BMID
6,1639,5466562.065999999600000,364706.783999999990000,273.581000000000020,TH5BMID
7,1640,5466563.203999999900000,364702.830000000020000,273.500000000000000,TH5BMID
8,1641,5466564.560999999800000,364696.911000000020000,275.867999999999990,BMID
9,1642,5466567.010999999900000,364693.207999999980000,276.608999999999980,BMID
14,2091,5466561.979000000300000,364704.999000000010000,273.863000000000000,TH5BMID
15,2165,5466552.826000000400000,364733.843999999980000,281.680999999999980,IF6BMID
16,2243,5466548.048999999600000,364748.525000000020000,277.531999999999980,TH6BMID

