FID,Point,Northing,Easting,HAE,Code
0,29,5486091.465099999700000,347004.277400000020000,563.806500000000030,THMID
1,51,5486091.357400000100000,347001.691400000010000,564.067699999999950,MID1
2,52,5486091.585300000400000,347007.743499999980000,564.067199999999960,MID1
3,53,5486090.795199999600000,347014.919600000020000,564.550299999999990,MID1
4,54,5486091.104500000400000,347016.620000000000000,564.302800000000050,MID1
5,55,5486090.718700000100000,347019.612399999980000,564.137799999999970,MID1
6,56,5486091.263299999800000,346995.866700000010000,565.414999999999960,MID1
7,57,5486091.768799999700000,346992.558800000000000,565.736499999999980,MID1
8,58,5486091.262099999900000,346989.163899999990000,566.433999999999970,MID1
9,59,5486091.349499999500000,346984.091299999970000,566.311600000000000,MID1
