Point,Northing,Easting,HAE,Code
1,5486322.799,346987.2486,582.6293,P
2,5486321.699,346986.3895,582.4504,P
3,5486320.868,346985.7402,582.1234,P
4,5486319.97,346985.0386,581.9541,P
5,5486319.004,346984.2584,581.8126,P
6,5486318.024,346983.5345,581.5206,P
7,5486317.117,346982.8246,581.3444,P
8,5486316.305,346982.256,581.0346,P
9,5486315.517,346981.5693,580.7583,P
10,5486314.809,346980.9632,580.5022,P
11,5486314.139,346980.4421,580.2664,P
12,5486313.351,346979.8939,580.134,P
13,5486312.811,346979.4842,579.9115,P
14,5486312.254,346979.0137,579.6632,P
15,5486311.246,346978.2363,579.2928,P
16,5486310.386,346977.5527,579.087,P
17,5486309.622,346976.9447,578.7653,P
18,5486308.881,346976.3871,578.3754,P
19,5486308.269,346975.8935,578.0602,P
20,5486307.7,346975.4159,577.796,P
21,5486307.09,346974.9785,577.4855,P
22,5486306.576,346974.5917,577.3178,S
23,5486305.969,346974.086,577.5959,S
24,5486305.366,346973.6293,577.9018,M
25,5486305.04,346973.3746,578.243,S
26,5486304.262,346972.7671,578.9262,S
27,5486303.592,346972.2435,579.1767,S
28,5486303.148,346971.8964,579.5188,S
29,5486302.768,346971.5995,579.6996,S
30,5486302.403,346971.315,579.7952,S
31,5486301.66,346970.7342,579.8949,P
32,5486301.108,346970.3033,579.7833,P
33,5486300.498,346969.8263,579.5622,P
34,5486299.828,346969.3028,579.3803,P
35,5486299.079,346968.7179,579.1486,P
36,5486298.579,346968.3274,579.0592,P
37,5486297.81,346967.7263,578.7301,P
38,5486297.217,346967.2632,578.5008,P
39,5486296.723,346966.8768,578.2723,P
40,5486296.242,346966.5009,578.2048,P
41,5486295.787,346966.1461,578.0893,P
42,5486295.089,346965.6006,577.9713,P
43,5486294.517,346965.1535,577.9266,P
44,5486293.986,346964.7386,577.7448,P
45,5486293.44,346964.3122,577.4503,P
46,5486292.624,346963.6744,577.2846,P
47,5486290.923,346962.4579,576.5711,P
48,5486289.974,346961.7255,576.3152,P
49,5486289.359,346961.2399,576.0655,P
50,5486288.849,346960.8541,575.8355,P
51,5486287.853,346960.0923,575.3374,P
