Point,Northing,Easting,HAE,Code
1,5484864.03,348648.337,728.4154,P
2,5484863.155,348647.5595,727.9496,P
3,5484862.523,348647.0732,727.4639,P
4,5484861.652,348645.9716,726.8485,P
5,5484860.898,348645.2096,726.3841,P
6,5484860.346,348644.8484,726.1841,P
7,5484858.783,348643.4028,725.1075,P
8,5484858.062,348642.8454,724.7214,P
9,5484857.491,348642.4029,724.2882,P
10,5484856.758,348641.6793,723.8867,P
11,5484856.201,348641.0546,723.5053,P
12,5484855.657,348640.605,723.0303,P
13,5484854.758,348639.8699,722.5112,P
14,5484853.865,348639.1191,722.224,P
15,5484853.166,348638.6125,722.0677,P
16,5484852.443,348638.0159,721.6413,P
17,5484851.577,348637.1823,721.2344,P
18,5484850.815,348636.5255,721.0948,P
19,5484850.135,348635.8792,721.1057,P
20,5484850.339,348636.038,721.1031,S
21,5484850.072,348635.7334,721.1142,S
22,5484849.993,348635.6785,721.1178,M
23,5484849.728,348635.4381,721.1435,S
24,5484849.256,348635.0413,721.165,S
25,5484848.969,348634.845,721.2271,P
26,5484848.735,348634.6215,721.1488,P
27,5484848.517,348634.4382,721.0766,P
28,5484846.846,348633.0519,720.5585,P
29,5484846.463,348632.7332,720.2751,P
30,5484846.004,348632.3555,719.8871,P
31,5484845.609,348631.9273,719.5163,P
32,5484844.92,348631.3597,719.131,P
33,5484844.058,348630.5379,718.8067,P
34,5484842.585,348629.3921,717.7378,P
35,5484841.819,348628.6452,717.1533,P
36,5484841.253,348628.1435,716.6923,P
37,5484840.672,348627.633,716.3528,P
38,5484839.875,348626.9645,715.8072,P
39,5484838.92,348626.1585,715.2805,P
40,5484837.841,348625.2818,714.7663,P
41,5484836.868,348624.4468,714.1228,P
42,5484835.925,348623.7145,713.6117,P
43,5484834.515,348622.5521,712.6573,P
44,5484833.816,348621.884,712.2708,P
45,5484833.058,348621.1579,711.617,P
46,5484832.278,348620.4938,711.1524,P
