Point,Northing,Easting,HAE,Code
1,5466664.201,364467.5998,269.5821,P
2,5466663.444,364467.4622,269.4052,P
3,5466662.232,364467.3569,269.2493,P
4,5466659.885,364466.6705,268.5758,P
5,5466659.162,364463.1814,268.8087,M
6,5466658.049,364459.4764,269.5157,P
7,5466657.005,364459.2046,269.2973,P
8,5466656.146,364459.0198,269.1146,P
9,5466653.535,364458.5832,268.4531,P
10,5466652.595,364458.4753,268.336,P
11,5466651.799,364458.2842,268.0076,P
12,5466651.047,364458.16,267.7857,P
13,5466649.325,364457.6184,267.303,P
