Point,Northing,Easting,HAE,Code
1,5466651.481,364554.477,284.98,P
2,5466649.76,364553.779,284.579,P
3,5466648.801,364553.394,284.346,P
4,5466647.689,364553.022,284.23,P
5,5466646.597,364552.061,284.072,P
6,5466645.254,364551.527,283.758,P
7,5466644.185,364551.041,283.776,P
8,5466643.18,364550.79,283.847,P
9,5466641.924,364550.426,283.66,P
10,5466640.335,364549.847,283.426,P
11,5466638.546,364548.916,282.863,P
12,5466636.533,364548.084,282.496,P
13,5466634.921,364547.756,282.134,P
14,5466633.764,364547.24,281.842,P
15,5466632.11,364547.04,281.412,P
16,5466630.05,364546.424,280.732,P
17,5466629.58,364545.342,280.511,M
18,5466629.476,364543.964,280.272,P
19,5466628.226,364543.522,280.036,P
20,5466626.843,364543.236,279.746,P
21,5466625.586,364543.051,279.543,P
22,5466624.542,364542.501,279.393,P
23,5466623.687,364541.993,279.158,P
24,5466622.541,364541.512,278.955,P
