Point,Northing,Easting,HAE,Code
1,5466736.078,364394.6474,277.3402,P
2,5466735.136,364394.3716,277.561,P
3,5466732.04,364393.3303,277.3185,P
4,5466730.703,364392.6675,276.9711,P
5,5466729.934,364392.4693,276.8167,P
6,5466728.721,364391.9808,276.9693,P
7,5466727.597,364391.3226,276.7458,P
8,5466726.737,364390.6818,276.6835,P
9,5466725.345,364388.7758,276.905,M
10,5466722.644,364385.3991,276.0729,P
11,5466721.822,364385.1273,275.8591,P
12,5466721.082,364384.887,275.8597,P
13,5466720.334,364384.7206,275.6365,P
14,5466716.105,364383.3113,274.6894,P
15,5466715.361,364383.0105,274.5233,P
16,5466714.791,364382.8278,274.4872,P
17,5466714.14,364382.5363,274.502,P
18,5466713.179,364382.2125,274.3976,P
