Point,Northing,Easting,HAE,Code
1,5466584.115,364589.028,279.845,P
2,5466583.411,364589.315,280.002,P
3,5466582.53,364589.184,279.951,P
4,5466580.985,364588.974,279.932,P
5,5466580.059,364588.98,279.896,P
6,5466579.054,364588.535,280.129,P
7,5466575.194,364585.471,281.743,M
8,5466572.816,364584.708,283.878,P
9,5466571.671,364584.236,284.033,P
10,5466571.035,364583.886,284.126,P
11,5466570.174,364583.552,284.132,P
12,5466569.478,364583.502,284.095,P
13,5466568.963,364583.296,284.074,P
14,5466567.47,364582.907,283.753,P
15,5466565.377,364582.746,283.255,P
16,5466564.436,364582.761,282.958,P
17,5466563.431,364582.401,282.571,P
18,5466562.287,364581.917,282.204,P
19,5466561.601,364581.733,281.975,P
20,5466560.859,364581.72,281.768,P
21,5466559.941,364581.741,281.574,P
22,5466559.184,364581.549,281.342,P
