Point,Northing,Easting,HAE,Code
1,5466614.789,364600.672,281.888,P
2,5466613.914,364600.162,281.475,P
3,5466612.899,364600.181,280.909,P
4,5466611.97,364599.952,280.571,P
5,5466610.675,364599.817,279.996,P
6,5466610.052,364599.596,279.688,P
7,5466607.298,364599.785,278.685,P
8,5466606.439,364599.406,278.603,P
9,5466605.673,364599.198,278.369,P
10,5466604.301,364599.46,277.999,P
11,5466603.398,364599.11,277.805,P
12,5466602.768,364598.808,277.718,P
13,5466601.9,364598.544,277.618,P
14,5466601.141,364598.272,277.44,P
15,5466600.31,364597.89,277.491,P
16,5466599.369,364597.485,277.341,P
17,5466596.676,364595.887,277.143,M
18,5466595.543,364595.023,277.202,P
19,5466595.349,364594.845,277.258,P
20,5466594.329,364594.712,277.068,P
21,5466593.536,364594.478,276.905,P
22,5466592.389,364594.16,276.6,P
