Point,Northing,Easting,HAE,Code
1,5466573.554,364636.215,282.632,P
2,5466573.075,364636.557,282.798,P
3,5466571.634,364635.953,282.631,P
4,5466570.623,364635.581,282.444,P
5,5466569.522,364635.119,282.316,P
6,5466568.731,364634.612,282.068,P
7,5466567.571,364634.027,281.823,P
8,5466566.958,364633.521,281.585,P
9,5466566.281,364632.672,281.06,P
10,5466565.397,364632.272,280.713,P
11,5466564.741,364631.146,280.264,P
12,5466564.039,364630.706,279.845,P
13,5466563.138,364630.079,279.399,P
14,5466562.434,364629.766,279.188,P
15,5466561.974,364629.142,279.012,P
16,5466561.934,364625.964,278.846,M
17,5466563.779,364623.699,278.952,P
18,5466562.307,364623.798,279.173,P
19,5466561.073,364623.813,279.34,P
20,5466559.943,364623.768,279.451,P
21,5466559.007,364623.201,279.549,P
22,5466557.856,364623.173,279.591,P
