Point,Northing,Easting,HAE,Code
1,5466598.799,364669.639,290.916,P
2,5466597.805,364670.074,290.589,P
3,5466597.389,364670.534,290.336,P
4,5466596.585,364670.91,289.971,P
5,5466595.709,364671.344,289.59,P
6,5466594.925,364671.805,289.255,P
7,5466594.259,364672.069,289.008,P
8,5466593.221,364672.511,288.623,P
9,5466583.716,364671.16,285.475,M
10,5466582.991,364669.262,285.533,P
11,5466576.332,364672.276,284.103,P
12,5466575.153,364672.674,283.886,P
13,5466573.834,364672.961,283.666,P
14,5466573.093,364673.163,283.435,P
15,5466572.374,364673.182,283.303,P
