Point,Northing,Easting,HAE,Code
28,5466853.446,364327.3874,303.1589,P
29,5466853.023,364326.3846,302.9858,P
30,5466852.671,364324.1303,302.7452,P
31,5466852.602,364323.1145,302.5055,P
32,5466852.524,364322.2265,302.3148,P
33,5466852.577,364321.1646,302.0468,P
34,5466852.616,364320.2282,301.6811,P
35,5466852.731,364319.1598,301.3267,P
36,5466852.722,364318.1736,301.1376,P
37,5466852.633,364317.3616,300.9923,P
38,5466852.52,364316.5737,300.8861,P
39,5466852.553,364315.6848,300.5337,P
40,5466852.633,364313.8725,300.2599,P
41,5466852.802,364312.5513,300.1244,P
44,5466852.047,364308.7263,298.8807,P
45,5466851.479,364307.4046,298.295,P
46,5466850.698,364306.143,297.7079,P
47,5466850.157,364304.9517,297.3556,P
48,5466849.498,364303.2278,296.8538,P
49,5466849.312,364301.7454,296.3786,P
50,5466849.005,364300.5105,296.0179,P
51,5466849.038,364299.7329,295.7243,P
52,5466848.515,364297.5326,295.1494,P
55,5466847.549,364293.9142,294.3164,P
56,5466847.076,364292.7742,294.0891,P
57,5466846.71,364291.8318,293.8976,P
58,5466846.42,364290.8683,293.6608,P
59,5466846.05,364289.5488,293.3486,P
60,5466845.749,364288.3063,292.8859,P
61,5466845.444,364286.6974,292.4991,P
62,5466845.335,364284.5527,291.7353,P
63,5466845.113,364283.6022,291.1569,P
64,5466844.659,364282.6522,290.8824,P
65,5466845.636,364277.7819,289.6122,M
68,5466846.091,364274.5383,289.3679,P
69,5466845.859,364273.2826,289.1605,P
70,5466845.952,364272.4101,288.9283,P
71,5466846.174,364270.7923,288.4273,P
72,5466846.006,364269.1985,287.8912,P
73,5466845.803,364268.2855,287.7058,P
74,5466846.936,364265.5563,286.5774,P
75,5466846.95,364264.056,286.0756,P
76,5466846.713,364262.6535,285.4807,P
77,5466846.619,364260.8896,284.6769,P
78,5466846.591,364259.9239,284.3814,P
