Point,Northing,Easting,HAE,Code
1,5467744.243,363303.4189,295.9954,P
2,5467743.396,363302.5039,295.6248,P
3,5467742.731,363301.692,295.51,P
4,5467742.189,363301.0705,295.0762,P
5,5467741.701,363300.3799,294.6326,P
6,5467741.259,363299.8306,294.5892,P
7,5467740.742,363299.0911,294.2312,P
8,5467740.333,363298.3078,293.7788,P
9,5467739.913,363298.0151,293.6151,P
10,5467739.449,363297.4471,293.1274,P
11,5467739.203,363296.8055,292.973,P
12,5467738.969,363296.0876,292.8881,P
13,5467738.553,363295.5838,292.6376,P
14,5467738.306,363294.9489,292.321,P
15,5467738.048,363294.5926,292.1275,P
16,5467737.747,363294.3273,291.9662,P
17,5467734.912,363288.9183,289.5491,M
18,5467733.604,363287.1945,289.0252,P
19,5467733.138,363286.3092,288.6834,P
20,5467732.567,363285.8236,288.3598,P
21,5467731.578,363285.01,287.3411,P
22,5467731.031,363283.8537,286.9553,P
23,5467730.476,363283.3931,286.6483,P
24,5467730.181,363282.688,286.2228,P
25,5467729.691,363282.2785,285.8117,P
26,5467729.093,363281.7076,285.1663,P
