Point,Northing,Easting,HAE,Code
1,5486254.457,346978.5212,600.4289,P
2,5486254.762,346978.6981,600.5631,P
3,5486254.164,346978.3505,600.4321,P
4,5486253.255,346977.8234,600.1773,P
5,5486252.541,346977.427,599.898,P
6,5486251.812,346977.004,599.7702,P
7,5486250.719,346976.3698,599.7401,P
8,5486249.868,346975.8753,599.6381,P
9,5486248.888,346975.306,599.4558,P
10,5486248.028,346974.7879,599.3397,P
11,5486247.255,346974.3389,599.1748,P
12,5486246.65,346973.9879,599.2133,P
13,5486245.831,346973.5127,599.0236,P
14,5486244.914,346972.9799,598.6472,P
15,5486244.181,346972.5553,598.5732,P
16,5486243.245,346972.0113,598.4282,P
17,5486242.456,346971.5638,598.2939,P
18,5486241.405,346970.9532,598.3002,P
19,5486239.063,346969.5928,597.9302,S
20,5486238.067,346969.0008,598.3852,M
21,5486237.195,346968.4523,598.6783,S
22,5486236.699,346968.1923,598.7949,S
23,5486236.143,346967.8375,598.879,P
24,5486235.331,346967.3693,598.8837,P
25,5486234.524,346966.9091,598.716,P
26,5486233.512,346966.3249,598.7685,P
27,5486232.515,346965.7495,598.6049,P
28,5486231.811,346965.3431,598.5152,P
29,5486231.053,346964.9049,598.4289,P
30,5486229.973,346964.2815,598.316,P
31,5486229.212,346963.8504,598.1592,P
32,5486228.339,346963.3454,597.8812,P
33,5486227.525,346962.8747,597.724,P
34,5486226.871,346962.4965,597.413,P
35,5486226.391,346962.219,597.2565,P
36,5486225.852,346961.9067,597.0003,P
