Point,Northing,Easting,HAE,Code
1,5486120.95,346806.7756,573.9161,P
2,5486120.424,346805.8822,573.4957,P
3,5486119.754,346804.671,573.6222,P
4,5486119.157,346803.5918,573.7883,P
5,5486118.502,346802.4068,573.4892,P
6,5486117.902,346801.3224,573.2999,P
7,5486117.299,346800.2337,572.9758,P
8,5486116.811,346799.3176,572.7356,P
9,5486116.152,346798.1277,572.4307,P
10,5486115.791,346797.4769,572.3238,P
11,5486114.612,346795.2821,571.962,P
12,5486114.243,346794.6753,571.6747,P
13,5486113.904,346794.0637,571.4931,P
14,5486113.344,346793.0539,571.0751,P
15,5486112.835,346792.1353,570.4986,P
16,5486112.405,346791.358,570.0355,P
17,5486111.623,346789.9484,569.9651,P
18,5486111.057,346788.9274,569.8172,P
19,5486110.623,346788.1439,569.4891,P
20,5486110.236,346787.4468,569.1658,P
21,5486109.763,346786.5931,568.6628,P
22,5486109.368,346785.8803,568.1824,P
23,5486108.858,346784.9604,567.8691,P
24,5486108.504,346784.3207,567.5516,P
25,5486108.076,346783.5485,567.1263,P
26,5486107.759,346782.9783,566.7913,P
27,5486107.306,346782.1604,566.5799,S
28,5486106.753,346781.1625,566.5772,S
29,5486106.205,346780.1742,567.1461,M
30,5486105.858,346779.5482,567.5584,S
31,5486105.515,346778.9298,567.8438,S
32,5486105.206,346778.3713,567.9584,S
33,5486104.72,346777.4945,567.9261,P
34,5486104.4,346776.9167,567.7694,P
35,5486104.065,346776.3129,567.5335,P
36,5486103.649,346775.5633,567.1146,P
37,5486103.246,346774.8355,566.7372,P
38,5486102.709,346773.8723,566.2826,P
39,5486101.875,346772.3695,565.7412,P
40,5486100.608,346770.0866,564.575,P
41,5486100.045,346769.0563,564.0827,P
42,5486099.602,346768.2873,563.7635,P
43,5486098.838,346767.0683,563.2452,P
44,5486098.192,346765.9217,562.6611,P
45,5486097.634,346764.9646,562.0001,P
46,5486096.991,346763.8272,561.493,P
47,5486096.403,346762.7856,561.2968,P
48,5486095.921,346761.9318,560.9178,P
