Point,Northing,Easting,HAE,Code
1,5465053.554,366865.0887,175.8918,P
2,5465052.148,366864.9421,175.3119,P
3,5465051.463,366864.4415,174.9073,P
4,5465050.664,366864.153,174.435,P
5,5465049.802,366863.7675,173.9772,P
6,5465049.101,366863.2585,173.7313,P
7,5465048.522,366862.6223,173.5443,P
8,5465047.514,366862.4026,173.0791,P
9,5465046.852,366861.937,172.827,P
10,5465045.905,366861.2581,172.5359,P
11,5465044.89,366860.6674,172.6117,P
12,5465044.007,366860.3176,172.505,P
13,5465043.211,366859.7722,172.0619,P
14,5465042.486,366859.122,172.0927,P
15,5465041.165,366858.5355,171.69,P
16,5465040.383,366858.1465,171.4447,P
17,5465039.395,366857.847,171.1598,P
18,5465038.476,366857.4353,170.8854,P
19,5465037.842,366857.0709,170.8153,P
20,5465036.742,366856.5743,170.4765,P
21,5465035.649,366856.2511,170.0609,P
22,5465035.023,366855.56,169.8962,P
23,5465032.312,366854.4937,169.7865,M
24,5465031.88,366853.2719,170.1794,P
25,5465030.495,366852.7948,169.9429,P
26,5465029.464,366852.1988,169.7541,P
27,5465028.404,366851.8474,169.5331,P
28,5465027.523,366851.4759,169.4554,P
29,5465026.308,366851.0924,169.1694,P
30,5465025.404,366850.7621,168.8784,P
31,5465024.277,366850.7711,168.6375,P
32,5465023.463,366850.2812,168.5208,P
33,5465022.273,366850.0983,168.2941,P
34,5465020.288,366849.663,167.7078,P
35,5465019.091,366849.4561,167.2445,P
36,5465018.168,366849.1019,167.1015,P
37,5465017.018,366848.651,166.6757,P
38,5465015.518,366848.7106,166.1085,P
