Point,Northing,Easting,HAE,Code
1,5486369.24,346806.5347,586.6499308,P
2,5486364.743,346802.2247,585.6283425,P
3,5486361.944,346798.8045,584.4978296,P
4,5486361.087,346794.397,583.6695382,P
5,5486359.112,346790.5117,582.3660408,P
6,5486356.549,346786.7406,581.0142086,P
7,5486353.991,346782.2062,579.0242482,P
8,5486351.556,346777.8194,577.0093311,P
9,5486351.385,346774.0942,575.9727679,M
10,5486349.936,346766.6894,574.0956148,P
11,5486346.306,346762.1347,571.9379944,P
12,5486342.89,346758.6818,569.6313478,P
13,5486338.957,346753.1569,566.3279799,P
14,5486335.453,346749.8356,564.2120928,P
15,5486329.393,346744.1523,560.1107572,P
16,5486325.96,346741.1984,558.0415934,P
17,5486320.542,346738.8209,556.1340329,P
