Point,Northing,Easting,HAE,Code
1,5486305.085,346948.6162,592.7043028,P
2,5486300.249,346947.2693,591.7164385,P
3,5486296.148,346945.7793,590.6307234,P
4,5486291.904,346943.5549,589.9339459,P
5,5486287.068,346942.2078,588.894916,P
6,5486282.385,346939.6874,587.939203,P
7,5486277.845,346937.9017,587.2015298,P
8,5486272.57,346936.2588,586.2836669,P
9,5486267.285,346936.5236,585.3675264,P
10,5486261.133,346934.2889,584.8403727,P
11,5486255.572,346931.1768,584.5784313,P
12,5486250.221,346930.1203,583.7908326,P
13,5486241.731,346925.8453,583.5581261,M
14,5486234.209,346919.3199,583.4220802,P
15,5486229.893,346916.728,582.7210777,P
16,5486224.323,346915.5237,581.8328596,P
17,5486220.073,346914.2533,581.1736646,P
18,5486215.467,346911.1462,579.9214951,P
19,5486212.182,346907.9729,579.0243271,P
20,5486209.932,346903.2643,577.7267767,P
21,5486205.918,346899.2798,576.7989778,P
22,5486201.679,346896.1015,575.4179161,P
23,5486195.756,346892.1067,573.6981353,P
24,5486191.451,346887.6071,572.8259972,P
25,5486187.212,346884.4288,571.5677144,P
26,5486183.922,346882.2094,570.8716923,P
27,5486179.387,346879.4695,570.1688107,P
28,5486175.296,346876.0718,569.5081208,P
