Point,Northing,Easting,HAE,Code
1,5486234.209,346919.3199,583.4220802,P
2,5486229.893,346916.728,582.7210777,P
3,5486224.323,346915.5237,581.8328596,P
4,5486220.073,346914.2533,581.1736646,P
5,5486215.467,346911.1462,579.9214951,P
6,5486212.182,346907.9729,579.0243271,P
7,5486209.932,346903.2643,577.7267767,P
8,5486205.918,346899.2798,576.7989778,P
9,5486201.679,346896.1015,575.4179161,P
10,5486195.756,346892.1067,573.6981353,P
11,5486191.451,346887.6071,572.8259972,P
12,5486187.212,346884.4288,571.5677144,P
13,5486183.922,346882.2094,570.8716923,P
14,5486179.387,346879.4695,570.1688107,P
15,5486175.296,346876.0718,569.5081208,P
16,5486171.49,346871.0025,568.9372241,M
17,5486169.404,346866.3533,569.0373245,P
18,5486166.415,346862.7414,568.829395,P
19,5486165.038,346859.5784,568.3541629,P
20,5486163.365,346856.8542,567.5568559,P
21,5486162.355,346853.6199,567.006288,P
22,5486159.881,346849.7172,565.623314,P
23,5486157.034,346846.8398,564.5791606,P
24,5486155.3,346841.8405,563.2151305,P
25,5486153.061,346835.2238,561.3703894,P
26,5486153.383,346830.0153,560.8549349,P
27,5486152.812,346827.0767,560.3070828,P
