Point,Northing,Easting,HAE,Code
1,5464753.055,366378.7517,147.8421,P
2,5464753.777,366379.1686,147.7882,P
3,5464754.557,366379.619,147.7368,P
4,5464755.496,366380.1588,147.559,P
5,5464756.27,366380.6058,147.7634,P
6,5464757.042,366381.0516,147.5235,P
7,5464758.098,366381.6611,147.3142,P
8,5464758.771,366382.05,147.1827,P
9,5464759.504,366382.4734,147.1141,P
10,5464760.273,366382.9079,146.9772,P
11,5464761.331,366383.5201,146.9193,P
12,5464762.13,366383.9815,146.8935,P
13,5464763.031,366384.5027,146.7104,P
14,5464764.023,366385.0757,146.6171,P
15,5464764.919,366385.5943,146.5226,P
16,5464765.784,366386.0942,146.5777,P
17,5464766.793,366386.6773,146.4518,P
18,5464767.664,366387.1808,146.4769,P
19,5464768.548,366387.6918,146.5899,P
20,5464769.625,366388.3144,145.9981,P
21,5464770.674,366388.9208,145.9487,P
22,5464771.696,366389.5115,145.865,P
23,5464772.598,366390.0334,145.9109,P
24,5464773.651,366390.6417,146.0049,P
25,5464774.802,366391.3076,145.8916,P
26,5464775.417,366391.6629,145.9518,P
27,5464777.264,366392.7295,145.9703,P
28,5464778.293,366393.324,145.743,P
29,5464779.421,366393.975,145.3493,M
30,5464780.408,366394.5453,145.1033,P
31,5464781.557,366395.2087,144.8809,P
32,5464782.462,366395.7309,144.8111,P
33,5464783.399,366396.2719,144.7302,P
34,5464784.296,366396.7895,144.651,P
35,5464785.294,366397.3661,144.7303,P
36,5464786.395,366398.0018,144.71,P
37,5464787.614,366398.7058,144.736,P
38,5464788.361,366399.1279,144.3634,P
39,5464789.605,366399.871,144.5477,P
40,5464790.987,366400.6533,144.3083,P
41,5464791.795,366401.1196,144.1646,P
42,5464793.131,366401.8904,143.6757,P
43,5464794.034,366402.4118,143.7574,P
44,5464795.129,366403.0443,144.0923,P
45,5464796.112,366403.6118,144.007,P
