Point,Northing,Easting,HAE,Code
1,5486111.358,347002.6673,565.6839,P
2,5486110.115,347002.7373,565.4514,P
3,5486106.419,347003.759,564.7337,P
4,5486105.319,347004.1063,564.5594,P
5,5486104.542,347004.4995,564.4087,P
6,5486102.936,347005.3646,564.3085,P
7,5486102.03,347005.4307,563.9632,P
8,5486101.509,347005.8319,563.8101,P
9,5486100.256,347005.9969,563.6057,P
10,5486099.634,347006.4478,563.5441,P
11,5486098.709,347006.7997,563.3991,P
12,5486097.472,347006.7289,563.1873,P
13,5486096.435,347006.9981,562.942,P
14,5486091.465,347004.2774,563.8065,M
15,5486088.031,347001.5864,564.8898,P
16,5486086.988,347001.001,564.9583,P
17,5486085.905,347000.9348,564.7276,P
18,5486085.007,347000.7895,564.7033,P
19,5486083.368,347000.2581,564.8012,P
20,5486082.467,347000.0915,564.8327,P
21,5486081.773,346999.8739,564.8487,P
22,5486080.94,346999.5697,564.6853,P
23,5486078.939,346999.8457,564.4781,P
24,5486078.001,346999.9704,564.4353,P
25,5486077.164,346999.8487,564.4374,P
26,5486076.018,346999.9616,564.2362,P
27,5486075.131,347000.1451,564.1027,P
28,5486074.315,347000.1667,563.9073,P
29,5486073.443,347000.0063,563.6999,P
30,5486072.439,346999.8183,563.5363,P
31,5486071.232,346999.9687,563.3509,P
32,5486070.463,347000.6315,563.162,P
33,5486069.517,347000.414,563.0198,P
34,5486068.786,347000.2794,562.9773,P
35,5486067.781,347000.4472,562.9502,P
