Point,Northing,Easting,HAE,Code
1,5466692.563,364457.3723,270.4919,P
2,5466691.705,364457.1197,270.3507,P
3,5466691.05,364457.0969,270.253,P
4,5466690.262,364456.8072,270.0488,P
5,5466688.682,364456.5173,269.8283,P
6,5466688.188,364456.4066,269.7059,P
7,5466685.798,364455.35,269.1742,P
8,5466684.9,364455.0944,268.9627,P
9,5466682.854,364454.2495,268.6032,P
10,5466682.154,364454.0678,268.3269,P
11,5466681.31,364454.0188,268.0489,P
12,5466680.643,364453.9447,267.96,P
13,5466679.818,364453.8611,267.6376,P
14,5466679.129,364453.6505,267.4394,P
15,5466678.305,364453.4392,267.2292,P
16,5466677.548,364453.3465,267.0732,P
17,5466676.705,364453.2365,266.9916,P
18,5466675.847,364453.1356,266.7565,P
19,5466674.861,364452.6968,266.6118,P
20,5466671.069,364451.2215,267.5517,M
21,5466666.782,364449.9927,268.7291,P
22,5466666.194,364449.7221,268.892,P
23,5466665.577,364449.411,268.7478,P
24,5466664.906,364449.1486,268.4745,P
25,5466664.071,364448.8999,268.3434,P
26,5466663.267,364448.4822,268.0754,P
27,5466662.509,364448.2264,267.7323,P
28,5466662.116,364448.0407,267.5477,P
29,5466661.732,364447.8711,267.4104,P
30,5466660.263,364447.0425,266.9123,P
31,5466659.932,364446.826,266.6891,P
32,5466659.366,364446.5873,266.4514,P
33,5466658.756,364446.2667,266.1262,P
34,5466657.981,364446.0305,265.7619,P
35,5466657.306,364445.6834,265.6729,P
36,5466656.491,364445.2181,265.5688,P
37,5466655.461,364444.8665,264.9513,P
38,5466654.679,364444.5381,264.6132,P
39,5466652.021,364443.4831,263.58,P
40,5466651.483,364443.0279,263.1309,P
41,5466650.597,364442.6361,262.9868,P
