Point,Northing,Easting,HAE,Code
1,5466611.515,364546.89,277.274,P
2,5466610.754,364546.2,277.089,P
3,5466609.128,364545.501,276.619,P
4,5466606.451,364540.353,278.556,M
5,5466603.393,364538.687,280.472,P
6,5466602.629,364538.225,280.543,P
7,5466601.197,364537.171,280.054,P
8,5466600.603,364536.532,279.981,P
9,5466599.888,364535.954,279.681,P
10,5466598.989,364535.41,279.329,P
11,5466597.96,364534.884,278.87,P
12,5466596.718,364534.857,278.393,P
13,5466595.312,364534.045,277.707,P
14,5466594.78,364533.28,277.559,P
15,5466593.8,364532.317,277.108,P
16,5466592.085,364531.758,276.329,P
