Point,Northing,Easting,HAE,Code
1,5466605.484,364585.269,276.028,P
2,5466604.91,364585.019,275.901,P
3,5466604.181,364584.455,275.735,P
4,5466603.814,364584.348,275.531,P
5,5466603.241,364584.173,275.202,P
6,5466602.648,364584.04,275.048,P
7,5466597.569,364579.405,275.05,M
8,5466595.885,364575.974,276.466,P
9,5466595.554,364575.666,276.584,P
10,5466595.292,364575.451,276.629,P
11,5466594.959,364575.286,276.662,P
12,5466594.624,364575.187,276.625,P
13,5466594.18,364574.945,276.632,P
14,5466593.919,364574.685,276.594,P
15,5466593.658,364574.56,276.462,P
