Point,Northing,Easting,HAE,Code
1,5466606.565,364606.285,278.31,P
2,5466605.731,364606.242,277.934,P
3,5466604.733,364606.217,277.465,P
4,5466603.946,364606.531,277.215,P
5,5466602.748,364606.407,276.732,P
6,5466602.016,364606.622,276.474,P
7,5466600.915,364606.779,276.065,P
8,5466600.522,364607.087,275.928,P
9,5466597.563,364606.877,274.71,P
10,5466596.715,364606.852,274.423,P
11,5466595.498,364607.037,274.157,P
12,5466593.488,364607.156,273.485,P
13,5466590.868,364607.374,273.737,M
14,5466588.706,364606.895,274.111,P
15,5466587.82,364606.735,274.266,P
16,5466586.955,364606.809,274.213,P
17,5466585.261,364607.037,274.352,P
18,5466584.205,364607.358,274.332,P
19,5466583.587,364607.557,274.364,P
20,5466582.508,364607.845,274.522,P
21,5466581.89,364607.96,274.635,P
