Point,Northing,Easting,HAE,Code
1,5466552.72,364889.936,285.253,P
2,5466551.237,364889.262,284.239,P
3,5466550.147,364889.864,283.758,P
4,5466549.577,364889.832,283.462,P
5,5466548.913,364889.826,283.195,P
6,5466547.913,364889.817,282.905,P
7,5466546.704,364889.8,282.766,P
8,5466545.366,364890.001,281.622,P
9,5466543.136,364890.832,280.897,P
10,5466542.143,364891.338,280.69,P
11,5466541.435,364892.161,280.472,P
12,5466540.135,364892.863,280.271,P
13,5466537.622,364890.5992,280.7609,M
14,5466533.308,364890.158,281.236,P
15,5466532,364890.134,281.03,P
16,5466530.101,364890.458,281.028,P
17,5466528.226,364890.944,280.613,P
18,5466526.744,364891.477,280.161,P
19,5466525.328,364892.062,279.615,P
20,5466524.049,364892.754,279.072,P
21,5466522.52,364892.842,278.452,P
22,5466521.045,364893.109,277.976,P
23,5466519.661,364893.696,277.485,P
24,5466517.224,364894.412,276.459,P
25,5466516.159,364894.809,276.151,P
26,5466514.584,364895.302,275.752,P
27,5466513.468,364897.255,274.691,P
