Point,Northing,Easting,HAE,Code
1,5467762.369,363314.8674,301.8174,P
2,5467762.206,363314.1669,301.493,P
3,5467761.471,363313.4083,300.7475,P
4,5467761.284,363312.9265,300.4343,P
5,5467761.095,363312.4022,300.3807,P
6,5467760.32,363311.6484,300.0195,P
7,5467760.166,363311.0456,299.578,P
8,5467759.53,363310.4211,299.3199,P
9,5467758.827,363309.6387,299.075,P
10,5467757.761,363308.3932,297.92,P
11,5467757.256,363307.5527,297.5035,P
12,5467756.708,363306.8012,297.2685,P
13,5467756.261,363306.3681,297.0651,P
14,5467755.873,363305.8057,296.6447,P
15,5467754.421,363304.302,295.8303,P
16,5467750.502,363298.907,295,M
17,5467748.58,363296.3517,294.5387,P
18,5467748.26,363295.3829,294.2053,P
19,5467747.844,363294.6162,293.7559,P
20,5467747.466,363293.8644,293.3803,P
21,5467747.052,363293.1924,293.0387,P
22,5467746.589,363292.6045,292.7476,P
23,5467746.053,363291.6681,292.2684,P
24,5467745.435,363290.8697,291.7622,P
25,5467745.059,363290.2116,291.2308,P
26,5467744.388,363289.4495,290.7771,P
27,5467744.044,363288.7311,290.3236,P
28,5467743.665,363288.0103,289.9368,P
29,5467743.331,363287.2054,289.6152,P
30,5467742.532,363286.563,289.181,P
31,5467742.212,363285.7879,289.08,P
