Point,Northing,Easting,HAE,Code
1,5466472.4,364937.731,62.74,P
2,5466471.972,364937.571,62.722,P
3,5466471.394,364937.269,62.505,P
4,5466470.793,364937.153,62.282,P
5,5466470.176,364937.114,62.172,P
6,5466469.592,364936.96,61.977,P
7,5466469.052,364936.892,61.733,P
8,5466467.899,364936.364,61.228,P
9,5466467.428,364936.129,61.234,P
10,5466466.848,364936.011,61.228,P
11,5466466.445,364935.804,61.12,P
12,5466465.873,364935.525,61.115,P
13,5466465.361,364935.302,61.07,P
14,5466464.687,364935.09,60.986,P
15,5466464.116,364934.847,60.794,P
16,5466463.491,364934.638,60.723,P
17,5466462.844,364934.432,60.746,P
18,5466462.273,364934.278,60.568,P
19,5466461.708,364934.054,60.366,P
20,5466461.217,364933.805,60.252,P
21,5466460.729,364933.629,60.144,P
22,5466460.064,364933.325,60.165,P
23,5466459.353,364933.144,59.906,P
24,5466458.971,364932.947,59.818,P
25,5466458.485,364932.853,59.905,M
26,5466458.032,364932.895,59.869,P
27,5466457.441,364932.805,59.736,P
28,5466456.964,364932.599,59.672,P
29,5466456.483,364932.492,59.503,P
30,5466456,364932.4,59.212,P
31,5466455.619,364932.313,59.02,P
32,5466454.907,364932.231,58.8,P
33,5466454.451,364932.114,58.682,P
34,5466453.849,364931.994,58.551,P
35,5466453.215,364931.955,58.304,P
36,5466452.376,364931.878,58.048,P
37,5466451.96,364931.836,57.952,P
38,5466451.512,364931.809,57.58,P
39,5466450.907,364931.532,57.502,P
40,5466450.39,364931.511,57.241,P
